Category,Number
Pilot,1
Y2K,1
Special report,7
Alex Background,1
Present Day,330
Inauguration Speech,1
Joe Rogan,3
Present Day/Dennis Montgomery,1
How Not to Cover Alex,1
Press Conference,2
Time Travel,56
30 Hour Marathon,1
Pizzagate,1
2015 Investigation,22
present Day,4
Bohemian Grove,1
Megyn Kelly Interview,2
Project Camelot,34
Protocols Of The Elders Of Zion,1
2016 Retrospective,5
Alex on Russian Media,1
Drunk Special Report,1
Piers Morgan Interview,1
David Rothschild,1
Endgame,5
David Lynch,1
Minisode,1
Operation Paul Revere,1
Post Tribulation Rapture,1
Wikileaks Press Conference,1
Tea Party Investigation,33
St Patrick's Day Special Report,1
Charlie Sheen,1
Aaron Russo,1
WWE's Kane,1
Mike Rotondo,2
Bill Ayers,1
Live Show,1
tea Party Investigation,1
Jim Bakker,7
Celebrity Appearance,2
Roger Stone,1
Jim Bakker Time Travel,1
Jared Holt Bonus Episode,1
project Camelot,1
Hotel Interview,1
Kavanaugh Confirmation Live Stream,1
Glenn Beck's George Soros Expose,1
Old Alex Clips,1
Obama Deception,5
Reverend Manning,1
Coach Dave,2
Coach Dave/ Larry Nichols,1
LIONEL,2
Bill Cooper,6
Jordan Takes the Wheel,7
Sandy Hook Investigation,44
Alex AMA,1
Formulaic Objections,4
Present Day/LIONEL,1
Stefan Molyneux,1
Qanon Anonymous Crossover,1
Bilderberg Speeches,1
Steve Pieczenik,1
Present Day/Stefan Molyneux,1
Coast to Coast,1
Kevin Moore,2
Grab Bag Minisode; Bill Cooper,1
Ghosts of Caucuses Past,1
Robert David Steele,1
CPAC,1
Super Alpha Male Championship,1
Donk's Dojo,1
Millie Weaver - Shadowgate,1
Howard Hughes,1
Debate coverage,1
2016 Election,2
Caravan,2
Joe Rogan on InfoWars,1
12/12 Rallies,1
XMAS Report Rebuttal,1
Inauguration,1
Present Day/ Stevie P Faces the Music,1
Commercials,1
Noam Chomsky,1
Nick Fuentes,2
Sandy Hook Response,1
Mike Rothschild,1
Spooktacular,1
Patriot Purge,1
Jon Ronson,1
Reset Wars,2
Andew Torrez,1
Stewart Rhodes,1
